name,lat,long,Score
Village Inn Restaurant and Bakery,27.971165,-82.696938,9.446304159
Atlantic No. 5,38.25702035,-85.76001328,63.84301142
Famous Dave's,47.154828,-122.303992,20.42757654
The Feve,41.29082277,-82.21764028,27.53905525
Quiznos,37.94566339,-122.0619969,19.68695418
Hobbit Cafe,29.7336,-95.4146,35.09682377
Familia Pizza,NA,NA,2.998262939
Lalibela Ethiopian Cuisine,36.11988,-86.718505,15.73825576
Villa Pizza (closed),42.635024,-89.2681673,39.27377659
The Pita Pit,34.36802,-89.51839,31.8721382
P.f. Chang's China Bistro,42.151959,-87.821541,76.28650998
Marco's Pizza,39.869489,-86.146425,92.12413589
King I,42.360313,-71.07081,45.74871238
Pizza Pit,41.574067,-84.007303,49.22698812
Mcforters,41.257512,-95.96932,0.159351499
Sonny's Real Pit Bar-b-q,NA,NA,94.94465587
Milio's Sandwiches,45.553367,-94.222893,48.53116011
Oven Fresh Pizza - Southwest - Berea,41.372713,-81.861268,84.1132582
King Falafel Restaurant,41.306473,-72.92925,52.44678776
Taco Del Mar,41.161688,-112.02635,95.16546845
A Votre Sante,34.063736,-118.39906,30.27902336
Win Hing,40.613661,-74.032944,94.84599019
Michael's Catering,NA,NA,29.28913567
Domino's,44.187611,-69.080978,85.49731611
Dockside Deli,43.38859854,-87.86843777,51.929581
Deagan's Kitchen & Bar,41.48528552,-81.8001169,26.99354133
Kabab Grille,37.5078,-77.61048,72.95874066
Pongal,40.742497,-73.982924,55.66633647
Champion House Sushi,42.2786379,-83.748629,13.25333358
Burger Hut El Dorado Hills,38.710194,-121.08649,51.60983561
Panda Bistro,NA,NA,57.0599937
Teany Cafe,40.72,-73.99,2.597814476
Dog Den,26.368259,-80.079496,20.59003744
Juiceland - University of Texas - Austin,30.295368,-97.742054,86.76001006
Organic Festival,35.864586,-78.57033,39.83344242
Quantum Leap Restaurant,40.729355,-73.99889,0.988607936
Alive,37.800114,-122.43395,16.03478806
,32.343822,-97.38574,97.03932253
,33.70622,-117.78608,36.59564299
Maggie's Mercantile,40.439189,-79.95552,24.49307121
Miami Subs,25.291986,-80.610489,92.62137933
Mcalister's Deli,29.98436,-95.726364,63.09992764
Laura and Tony's Kitchen,41.87687874,-69.986981,29.59694647
On The Border Mexican Cafe,32.857124,-97.311713,87.82981611
Braum's Ice Cream & Dairy Stores,32.977234,-96.73896,64.48532047
Naked Lunch,38.97007553,-77.37533744,62.42039879
Labor Ready Inc,38.875165,-77.2009447,99.82670103
Green Fusion,40.73792,-73.996636,63.28935141
"Thyme Natural Market & Cafe, Thyme Natural Market Cafe",40.70884,-73.83047,58.79579469
Salad and Go,33.33222,-111.806915,47.63456704
,47.445293,-122.4605,3.387810498
,33.71566,-117.99121,74.37155126
Seed,29.94,-90.07,58.3066124
La Salsa,30.134521,-97.797746,16.06816406
,47.27108,-122.48888,31.34244512
My Fit Foods,NA,NA,39.42275041
Basil &berry (closed),34.0551574,-118.3870717,28.45440401
Freesoulcaffe,33.742073,-117.82253,71.78087104
Mei's Asian Bistro,NA,NA,25.56209651
Pure Market Express,44.78849,-93.60154,29.49262816
Wheel of Life,33.70622,-117.78608,80.99960541
Taco Cabana,32.6759561,-97.0069343,15.25296821
La La Bistro,40.67795,-73.4561,59.62292375
Veggie Heaven,40.89117917,-74.4750301,15.54330004
Pho HOA,NA,NA,48.90960996
2 Girls &2 Pups Bake Shop (closed),40.7038325,-73.9410228,44.43400269
Jamba Juice,34.0200276,-118.2869327,69.1556087
Taco Cabana,29.561407,-98.589474,26.68586716
Mangia Gourmet,27.740406,-82.707436,46.79874652
Verizon Wireless,40.806047,-73.956346,31.04782122
,33.83081,-118.29023,47.81248741
Highline,47.620018,-122.3209,57.54452782
Taco Cabana,29.534328,-98.450424,42.95783098
Taco Cabana,32.9135849,-96.8731514,12.50351591
Taco Cabana,25.970621,-97.513984,53.23066158
Bliss Grand,40.714718,-73.961358,53.65527899
Liquiteria,40.74045,-74.00202,60.11302343
Melt Bar Grilled,40.00031,-82.93268,7.169859724
Quantum Leap Natural Foods,40.7303,-73.98334,90.80256598
,40.406914,-74.23399,12.59171106
Hut-k Chaats,42.245075,-83.6996,40.52422058
Chowpatty Chat Co,NA,NA,71.9142195
New Happy Family Restaurant,NA,NA,56.31118248
Taco Cabana,29.816671,-95.464829,29.20862025
The Kathmandu,40.70257,-111.85171,33.49645902
Taco Cabana,29.5465482,-98.3667046,14.13588563
Addis Red Sea,42.344154,-71.07129,15.52195111
Four Seasons,40.650753,-73.95608,89.36730179
Taste of The Goddess Cafe,34.076432,-118.350776,72.82108617
Lotus Cafe,43.481014,-110.76371,82.22688235
Vigan Express,33.83081,-118.29023,65.23071295
Get Fresh Cafe,34.67489,-118.15114,29.73007387
On The Border,30.004982,-95.255855,36.97548519
Flagler First Condominiums Inc,41.0448473,-71.9329669,75.68990747
Burrito Fresco,43.214825,-77.93847,85.77691161
Toms Coffee Bar,33.9905837,-118.4667019,68.33787562
Frullati Cafe,32.936388,-96.749674,13.75508308
On The Border Mexican Grill,33.102488,-96.67723,7.8787532
Protein Bar,38.8799728,-77.1139409,8.818327242
The Seed,40.0391808,-76.3059926,35.80393615
Organikiss Bistro Juice Bar,42.42881,-83.11274,88.30507456
Green Erth Bistro,30.310156,-81.65471,62.16778803
